distribution,n,k,k_over_n,n_over_k,method,runtime_mean_s,runtime_std_s,clusters,noise_points,observed_speedup
Interior-concentrated,5000,400,0.08,12.5,PBC-DBSCAN,0.6456864200000002,0.01574347524713043,2,1,2.792767613491172
Interior-concentrated,5000,400,0.08,12.5,GPDBSCAN,0.23119948000000007,0.00882655805889235,2,1,2.792767613491172
Uniform,5000,954,0.1908,5.241090146750524,PBC-DBSCAN,0.28755383999999984,0.0013938256088909561,1,0,1.91202857704817
Uniform,5000,954,0.1908,5.241090146750524,GPDBSCAN,0.15039201999999996,0.0028754035415927168,1,0,1.91202857704817
Boundary-concentrated,5000,3500,0.7,1.4285714285714286,PBC-DBSCAN,0.36270573999999983,0.006482855150549147,2,0,1.5299594387892157
Boundary-concentrated,5000,3500,0.7,1.4285714285714286,GPDBSCAN,0.23706886000000046,0.00362303271072714,2,0,1.5299594387892157
